ch1 ,ch2 ,ch3 ,ch4
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
